,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,d,dadang$1,vi,to cook by roasting as a task,,,,,,,,,,
,d,dadang$2,,to make s.t. (beverage or food) last for a long time,si kani mudadang kofina ia sigodo | Kani made his coffee last and last,,,,,badadang,,,,
,d,dadang$2,vi,to *sip at liquids at infrequent intervals thus making the beverage last a long time,,,,,,,,,,
,d,dadap,n,k.o. *tree; probably the *Indian~coral~tree [%*Erythrina~variegata|],,,,,plant,,,,,
,d,dadi,vi,to *become ; to be completed ; it will come to nothing; *in~vain; *vainly,batanga alengo itu dadi pocot | Its stem will become thick (fat) ; tala dadi ka bolung | Has it come to an end yet or not? ; cece mo sigodo kamudiang dadi bo:| Don't plan to do it afterwards; that will come to nothing.,,,,,,dadi bo:,,,
,d,dadi,conj,*hence; *thus,dadi kita sotu musi ada nang surat | Thus; if we were to pass by (the sentinel); there must be an accompanying letter.,,,,,padadi,,,,
,d,dadi,v,to *metamorphose s.t.; to *change the shape or characteristics of s.t.,Kupadadi diringku alu-alu | I changed myself to a barracuda,,,,,padadi akang,,,,
,d,dadi,v,to *change the state of s.t.,Padadi akang api ka sinanga nggaeka | Get that fire going and fry those bananas.,,,,,,,,,
,d,dado,n,*aunt,,,bapa nang tua ina nang dado,,kinship,,,,,
,d,dadu,vi,light *pink,,,,,,padadui,,,,
,d,dadu,v,to give s.t. a pink color; to increase the pinkness of s.t.,,,,,color,,,,,
,d,daera,n,*region; *vicinity,,,,probably an Indonesian loan,,,,,,
,d,daeraji,n,male *headgear; similar to a *turban,,,,Arch.,,,,,,
,d,daga,vi,to be *thirsty,,,,,,,,,,
,d,daga,n,*thirst,,,,,,,,,,
,d,dagang,,,,,,,,dagangi,,,,
,d,dagang,v,to offer s.t. for sale <*sell>,,,,,,dagang akang,,,,
,d,dagang,v,to *peddle s.t. at s.o.'s request,,,,,,badagang,,,,
,d,dagang,vi,to engage in peddling or commercial activity,,,,,,,,,,
,d,daging,n,*meat; *flesh,,,,,,sadaging,,,,
,d,daging,vi,to be of the same *family; to be *related,,,,,kinship,,,,,
,d,dai,n,*forehead,,,,,body,,,,,
,d,dakap,vt,to *embrace s.t.,,,,,,badakap,,,,
,d,dakap,vi,to engage in hugging ; to *fold o.'s arms around o'.s chest,,,,,,badakapang,badakap nyawa,,,
,d,dakap,vi,to *hug e.o.,,,,,,badabadakapang,,,,
,d,dakap,vi,to be in mutual *embrace|s for some time or intensively,,,,,,,,,,
,d,dake,,,,,,,,dake akang,,,,
,d,dake,vt,to *part (fighting parties),,,,,,badake,,,,
,d,dake,vi,to *separate belligerent persons,,,,,,,,,,
,d,daki,n,body *grime,,,,,,badaki,,,,
,d,daki,v,to be *grimey; to be covered with body grime,,,,,,,,,,
,d,dalam,n,*interior <*in> <*inside> ; *confines <*within> ; *during (a certain period of time),kayuang dalama | in the forest ; puasa dalama itu musi bakaya ga| During the month of Ramadan we must process sago too.,,dalamai ; indalang,,,,,,,
,d,dalamai,v,to *fill s.t. up ; to *fill with s.t.,,,dalam,,,,,,,
,d,dalang,,,,,dalam,,,,,,,
,d,dalapang,,,,,dualapang,,,,,,,
,d,dalikang,n,*hearth,,,mandapat,,house,,,,,
,d,dalima,n,k.o. *tree bearing edible *fruit; the *pomegranate; [%*Punica~granatum| L.],,,,,plant,,,,,
,d,dalise,n,k.o. *fish; a *snapper; the *red~emperor; [%*Lutjanus~sebae|] ; k.o. *fish,,,,,fish,,dalise tolap,,,
,d,dam,n,*checkers,,,,,game,,,,,
,d,dampar,,,,,,,,dampari,,,,
,d,dampar,v,to lie face down on s.t.,,,,,,dampar akang,,,,
,d,dampar,v,to cause s.t. to *overturn ; to *lay s.o. face down,,,,,,badampar,,,,
,d,dampar,vi,to lie face down; to lie *prone,,,,,,badampar-dampar,,,,
,d,dampar,vi,to *sleep face down (of several people),,,,,,nadampar,,,,
,d,dampar,vi,to be *cast~ashore; esp. of boats,,,,,,,,,,
,d,damping,vi,*near ; *approximately; *almost; *about ; *pre-dawn; just before *daybreak,tukayana tala damping saratus ribu| Its price is almost one hundred thousand,,,,,dampingi,damping caya,,,
,d,damping,v,to *approach,,,,,,damping akang,,,,
,d,damping,v,to *move s.t. close,,,,,,badampingang,,,,
,d,damping,vi,to be in close *proximity to e.o.,rumana pasi tu badampingang |Their houses are near e.o.,,,,,badabadampingang,,,,
,d,damping,vi,to be closely arranged; to be in proximity to e.o. (of a large number),,,,,,damping-damping,,,,
,d,damping,vi,rather nearby,,,,,,,,,,
,d,dan,conj,*and,,,nang,,,,,I,,
,d,dana,vi,*tame,,,,,,padanai,,,,
,d,dana,v,to tame s.t.; to *train some animal (e.g. a parrot),,,,,,,,,,
,d,dandansa,n,k.o. *dance in which movements are called <*quadrille>,,,,Arch.,,,,,,
,d,dandang,n,k.o. rice *pot,,,,,utensil ; culinary,,,,,
,d,da:ng,n,*branch; *bough,,,,,,,,,,
,d,dang,part,*again ; *more; in addition ; *else; *furthermore,Ari malang ompu ruma mukemi: dang. |Last night the rat pissed on him again. ; itu kira-kira tolu ari dang | That's probably three more days. ; karugiang dang | That's a further financial loss. ; Ap dang.| What else?,,,,,,,,,
,d,danga,v,to *hear s.t.,kudanga kam yogo tama bakaya ini| I hear that you are planning to get started on sago,,,,,danga akang,,,,
,d,danga,v,to listen to s.t. or s.o. on another's behalf,,,,,,dangai akang,,,,
,d,danga,v,to *listen to s.o. ; to *obey s.o.,,,,,,badangai akang,,,,
,d,danga,vi,to be engaged in *listen|ing to s.t.,,,,,,badangaiyang,,,,
,d,danga,vi,to be*listen|ed to carefully for some time,carama alengo ini badangaiyang ke moyo | That lecture just now was not even clear,,,,,,,,,
,d,dangan$1,,,,,,,,dangani,,,,
,d,dangan$1,v,to *accompany s.o.; to be with s.o.,,,,,,dangani akang,,,,
,d,dangan$1,v,to be with s.o. at another's request,,,,,,badanganang,,,,
,d,dangan$1,vi,to *accompany; to go as a friend of s.o.,,,,,,padanganang,,,,
,d,dangan$1,n,*companion; *follower; s.o. asked to accompany another; often temporarily,,,dangang,,,,,,,
,d,dangan$2,,,,,dangang,,,,,,,
,d,dangang,pr,*I,Dangang muumbuk ampung | I beg forgiveness,*first~singular,kami dangang,(respectful),,,,,,
,d,danycanak,n,older *sibling ; elder *sister ; elder *brother,,,bapa ; ina,,kinship,,danycanak bini-bini ; danycanak laki-laki,,,
,d,dapa,v,to *obtain; to *get ; to *experience or *undergo s.t. (usually unpleasant) ; to experience *menstruation; to have o.'s menstrual period,Kudapa papait capatu. |I got a gift of shoes. ; si taslim mudapa tampar de guruna| Taslim got slapped by his teacher.,,pauli ; dapat,,,,dapa hajat,,,
,d,dapat,,,,,,,,badapatang,,,,
,d,dapat,vi,to *meet; to *encounter,Adangi de surat laina bena kita badapatang | Wait; in another letter we will meet (again).,,dapa ; pandapatang,,,,,,,
,d,daras,vi,*swift (of water flow; the pace of walking; a punch; etc.) ; *loud (of voices and bird calls),,,,,,padarasi,,,,
,d,daras,v,to *increase the volume (e.g. of a radio) or the speed (e.g. of a punch) <*speed~up>,,,,,,,,,,
,d,dari,prep,*from,,,de,,,,,,,
,d,daripada,,,,,dari,,,,,,,
,d,dasar,n,*base ; cement *floor,capata dasara | soles of shoes,,,,,,,,,
,d,datar,vi,to be *flat of (topography),,,,,,,,,,
,d,datar,n,a flat place; a *plain or *plateau,,,,,,,,,,
,d,datuk,n,a palace *rank and *title ; high-ranking *representative of the Sultan of Bacan ; the *minister governing the territory (city) around the palace of Bacan,,,kadatong,,society ; society,,datuk alolong ; datuk sapanggala,,,
,d,datu$1,n,an *official of the sultanate,,,,,,,,,,
,d,datu$2,,,,,ngguming,,,,,,,
,d,daulu,part,*previous; *earlier~times,daulu kam mangaji cara deminy | In the old days how did you study Quranic,,,,,,,,,
,d,daulu,adv,*ahead; *first,kita tapabua mesela daulu | We make the cement foundation first.,,,,,dadauluna,,,,
,d,daulu,vi,*old (of inanimate objects),benteng dadauluna |old fort,,,,,,,,,
,d,daung,n,*leaf,,,,,,badaung,,,,
,d,daung,vi,leaved,,,,,,,,,,
,d,daung baru$1,n,k.o. *fish; *diamond~fish; [%*Monodactylus~argenteus|],,,,,fish,,,,,
,d,daung baru$2,n,k.o. *tree,,,,,plant,,,,,
,d,daung gatal ambon,n,k.o. toxic-leafed *plant,,,,,plant,,,,,
,d,daung tabal,n,k.o. *plant; perhaps the *floss~flower; [%*Ageratum~conyzoides|],,,,,plant,,,,,
,d,daung tumana,n,k.o. *insect; *aphid; suborder *Homoptera,,,,,,,,,,
,d,daung tumbu daung,n,k.o. seaside *cactus; *prickly~pear; [%*Opuntia~vulgaris|],,,,,plant,,,,,
,d,daya,loc,*landward *direction,ka daya | landward,,,,,,,,,
,d,daya upaya,n,*capability,,,,,,,,,,
,d,dayango,n,k.o. *insect emitting an unpleasant odor,,,,,insect,,,,,
,d,de,prep,*of; *from ; *at; on; in ; *here ; *there ; *where ; *for~example ; *from,kam tuka de si| Who did you buy it from? ; duga-dugana kami umbuk ambulung de abdl nang wahit | We will simply request ; de ahat | on Sunday ; itu de gambar alengo itu | That was it in the picture we just saw. ; de manado | at Manado,often used to mark human goals,di,,,,de ini ; de itu ; de mana ; de nyamo,,,
,d,debe,,,,,babaca debe,,,,,,,
,d,dede,n,a palace *title indicating royal descent ; an affectionate term of address and reference for the sultan's sons <*prince>,,,kacili,,,,,,,
,d,dedego,,,,,dego-dego,,,,,,,
,d,dego-dego,n,k.o. *bench or *sleeping~platform; usually made of bamboo,,,bale ; katidurang,,house,,,,,
,d,dekat,vi,*nearby; *proximate,,,,a loanword from TM,,,,,,
,d,dekea,vi,*elder (of o.'s aunts and uncles),,,bapa dekea ; ina dekea,,,,,,,
,d,deker,n,a *cover placed over a gutter or ditch,,,,,,,,,,
,d,deket,vi,*small,nusa deket | a small island near %nusa ra:|; Big Island ; andeket | youth,,,Archaic,,,,,,
,d,deminy,pr,*how ; *how~to; *method~to ; *example,jadi deminy nang kintalmu inycana tu | So how is it with your lot over there?,,de nyamo,,,,cara deminya/ ; deminya/ mo,,,
,d,denda,n,legal *fine; court *penalty,,,,,,,,,,
,d,dendeng,n,dried; preserved *meat <*jerky>; usually venison,,,,,,,,,,
,d,depeng,,,,,ndaeping,,,,,,,
,d,des,conj,*so; *therefore,,,,,,,,,,
,d,desa,,,,,kapala desa,,,,,,,
,d,desel,n,boat-building *adze,,,,,,,,,,
,d,desel,v,to *hew or *smooth s.t. (wood) with an adze; to *dress s.t. (wood),kita tadesel barenti mena iskaf| After we have dressed (the wood) then they can plane it.,,,,tool,,,,,
,d,di:,,,,,didi:,,,,,,,
,d,di,prep,*at,di luar | outside ; di mana | where,,de,,,,,,,
,d,di antaranya,conj,*including,musu di antaranya amerika | enemies; including America,,,,,,,,,
,d,diakang,,,,,didi: akang,,,,,,,
,d,diang,,,,,,,,badiang,,,,
,d,diang,vi,to be *quiet,,,,,,badiang-diang,,,,
,d,diang,vi,to be absolutely quiet <*silent>,basalng bolung baca duduk badiang-diang| If you haven't begun to recite; just sit,,,,,babadiang,,,,
,d,diang,vi,to be *discreet; to be *stealthy,,,,,,padiangi,,,,
,d,diang,v,to coax or persuade s.o. to be *quiet,,,,,,padiang akang,,,,
,d,diang,v,to make s.t. *quiet; e.g. to reduce the volume of a radio,,,,,,,,,,
,d,dibo-dibo,n,*wholesaler; s.o. who buys a whole crop or catch and controls the market,,,,,,badibo-dibo,,,,
,d,dibo-dibo,vi,to engage in such *commercial~activities,,,,,,,,,,
,d,dodak$1,n,*chest (of the body),,,,,,,,,,
,d,dodak$2,n,*front ; *ahead; *forthcoming ; *previous; earlier in a series,nusa ra: dodaka | in the front of Nusa Ra: ; sapt de dodak| next Saturday ; alap-alap di dodak| The guests (summoned) earlier,,manda/,,,badobadodakang,,,,
,d,dodak$2,vi,to be facing e.o. <*face>; to be *opposite e.o. (e.g. on the same street),,,,,,,,,,
,d,dodato mo,vi,to have a *fear that s.t. would or would not occur or be acceptable,ku dodato mo kamu: mumakang mo | I feared lest you would not eat (it),,,,,,,,,
,d,dodoku,n,*bridge,,,panitiang,,,,,,,
,d,dodol,n,k.o. durian *sweetmeat ; k.o. cassava *sweetmeat; similar to *taffy,,,,,food,,dodol koko,,,
,d,dodomi,n,*placenta ; be of one blood line; be united by blood,,,,,body,,dodomi sagale gale,,,
,d,dofola,n,k.o. *insect; the *bedbug; fam. *Cimicidae,,,,,insect,,,,,
,d,dohor,n,the *time for the Islamic *prayer ritual at *noontime,,,,,spiritual,,,,,
,d,doit,n,*money ; money contributed to the mosque <*contribution> during the recital of the laudation of the Prophet on certain Islamic holy days ; *coin (i.e. money for scattering),,,salawat ; taur,,,,doit salawat ; doit tataura,,,
,d,dok,n,*dock,,,,,,,,,,
,d,doko,vi,*greedy,,,,,,badoko,,,,
,d,doko,vi,to be *covet|ous; to gaze longingly (but not express o.'s *desire),,,,,,,,,,
,d,dola,vi,to *block s.o.'s path of escape by predicting the direction; to cut s.o. off <*cut~off>,,,,,,dola akang,,,,
,d,dola,v,to block s.o. at s.o.'s request,,,,,,badola,,,,
,d,dola,vi,to engage in blocking ; to *buy goods for resale by arriving at the market early; to *corner the market in such,badola manyjangang| to corner a deer,,,,,,,,,
,d,dolong,vi,*deep,,,lumpa-lumpat dolong,,,padolongi,,,,
,d,dolong,v,to *deepen s.t. (e.g. a well or a foundation),,,,,,,,,,
,d,dolosi,n,k.o. small multicolored*fish ; k.o. *fish; the *southern~*fusilier; [%*Caesio~xanthurus|] ; k.o. *fish; the *black-tipped~*fusilier; [%*Caesio~chrysozonus|] ; k.o. small pink fish,,,,,fish ; fish ; fish ; fish,,dolosi papang ; dolosi iba ; dolosi magiau,,,
,d,domplet,n,*wallet; change *purse,,,,,,,,,,
,d,donga-donga,n,ankle *bone (which protrudes),,,,,body,,,,,
,d,dongkrat,v,to *lever s.t. up (e.g. a boat),,,,,,,,I,,
,d,donyci,vi,*whining; *fussy (of children),,,,,,badonyci,,,,
,d,donyci,vi,to be characterized by whining <*whine>,,,,,,,,,,
,d,dop,n,infant's *pacifier,,,pep,,,,,,,
,d,dosa,,,,,bardosa,,,,,,,
,d,dosi-dosi,n,*box; esp. cardboard box,,,,,,,,,,
,d,doti,n,black *magic,,,,,,,,,,
,d,doti,v,to attack and negatively affect s.o. with black magic,nyawaku mantak po kudoti ia ni ke| I feel offended so I'll use some black magic on him,,,,,badoti,,,,
,d,doti,vi,to practice black *magic and to use spells and poisons,,,guna-guna,TM,,,,,,
,d,do,,,,,,,,dokang,,,,
,d,do,v,to *curse s.o.,cece mo idokang kita| Let it not happen that they curse us.,,,,,bado,,,,
,d,do,vi,to *curse,,,,,,badokang,,,,
,d,do,vi,to be engaged in cursing s.o. <*curse>,,,sasi,,,,,,,
,d,du,excl,*oh; an expression of disappointment or disapproval,,,,,,,,,,
,d,dua,num,*two,dua pulu| twenty,,,,,badua-dua,,,,
,d,dua,v,to be in a set of two; to form a *pair,pasi balampo badua-dua| They walked off in pairs.,,apadua ; sapadua ; kadua,,,,,,,
,d,dualapang,num,*eight,,,,,,,,,,
,d,dudugana,,,,,duga,,,,,,,
,d,duduk,vi,to *sit ; to *reside (at some place) ; to *occupy,ia itu duduk mo de amasing kota ke di mandawng | He doesn't live in Amasing Kota,,,,,duduki,,,,
,d,duduk,v,to sit on s.o. or s.t.,Ia itu mududuki taina manuk| He sat on chicken droppings,,,,,duduk akang,,,,
,d,duduk,v,to assist s.o. to sit at s.o.'s request ; to put s.t. in *place,,,,,,badudukang,,,,
,d,duduk,vi,to sit around in large numbers (e.g. at a meeting),,,,,,badubadudukang,,,,
,d,duduk,vi,to sit on e.o. (of many persons in play or in a crowded vehicle),,,,,,paduduk akang,,,,
,d,duduk,v,to use s.t. as a seat (i.e. s.t. not usually for sitting on; e.g. a table) ; to let s.t. stand; to put s.t. in a stable position (e.g. a container of water so the dregs ; to put s.t. in its appropriate place,paduduk akang paisu itu ga aming| Put the water on to the hearth (so it will boil),,,,,pandudukang,,,,
,d,duduk,n,sitting place; esp. the elaborate public *bench|es often found on corners in Labuha,,,,,,kadudukang,,,,
,d,duduk,n,a place to sit; a *seat ; *situation; social *setting ; a *place,kadudukangku nagawar-gawar | My seat wobbles ; kadudukang ini jat | This situation (e.g. in a known sorcerer's company) is unfavorable ; dupa-dupa kadudukanga | a place for incense; a censer ; inda: tu haiwan kadudukanga| Inland in the forest it's animal territory (i.e. too many,,,,,,,,,
,d,duga,v,to *assume; to *guess; to *suppose,,,sangka,,,,,,,
,d,dugana,conj,only to the extent; *however; *in~so~far~as,dugana kam tama itu; ingat-ingat paguna:ng ari saptu| However; as you start that;,,,,,,,,,
,d,dugana,part,only and insufficient,Doitku dugana hadiki| There's only a small amount of my money (left),,,,,duga-duga,,,,
,d,dugana,part,*only,durian duga-duga ke habua po yogo iumbuk dang| There was just one durian yet he still,,,,,duga-dugana,,,,
,d,dugana,part,only,pondo duga-dugana habua mena narebus dang| There was only one shirt; then it ripped,,,,,dudugana,,,,
,d,dugana,part,*only,,,,,,,,,,
,d,duka,n,*sorrow,,,,,,baduka,,,,
,d,duka,vi,to be in *mourn|ing,,,,,,,,,,
,d,duku,,,,,langsat duku,,,,,,,
,d,dumik,vi,*completed,papang inycana itu tala dumik| The boards over there are finished.,,,,,dumik akang,,,,
,d,dumik,v,to *complete s.t. at another's request,musi ka da: ga dumik akang jojaga itu puong| You must go inland too to finish that hut first.,,,,,padumiki,,,,
,d,dumik,v,to *finish off s.t.,Kau tala mupadumiki lao de kas. |You have finished off the fish in the cupboard.,,,,,padumik akang,,,,
,d,dumik,v,to *complete s.t. thoroughly,adaing padumik akang paguna:ng tu| Later we will complete that task.,,,,,dumi-dumik,,,,
,d,dumik,vi,*all,,,,,,,,,,
,d,dumik,adv,completely,,,,,,,,,,
,d,dumpul,n,boat *caulking,,,,,boat,,,,,
,d,duni,n,*world ; the transitory world; the place of the *mundane,,,bobato dunia/ ; ahera/t,,,,,,,
,d,dungkul,,,,,,,,dungkul akang,,,,
,d,dungkul,vt,to cause s.t. (esp. another's foot) to *ram s.t.,,,,,,nadungkul,,,,
,d,dungkul,vi,*stubbed (of the toe),,,,,,,,,,
,d,duong,,,,,lao,,,,,,,
,d,dupa,n,*taper|s of fragrant wood used as *incense,,,,,,,,,,
,d,duri,n,*thorn,,,ambulung duri puti,,,baduri,,,,
,d,duri,vi,to be covered with thorns; *prickly; *thorny,buro-buro baduri |a k.o. pandanus with many thorns,,bayang baduri ; aur baduri,,,baduri-duri,,,,
,d,duri,vi,to be covered with thorns or spines; *prickly,,,,,,,,,,
,d,duri babi,n,k.o. black; long-spined sea *urchin [%*Diadema~setosum|],,,tayong$1,,sea creature,,,,,
,d,duriang,n,k.o. *fruit; the *durian; [*%Durio~zibethinus|] ; k.o. small durian ; k.o. small durian ; k.o. dark; round; large durian ; k.o. small durian ; k.o. durian with easily visible sutures ; k.o. durian with small flat seeds ; k.o. very large somewhat oval-shaped durian ; k.o. durian shaped like a water apple ; k.o. elongated durian ; a very early stage in the *ripen|ing process of a durian ; k.o. tear-shaped durian ; k.o. round durian ; k.o. durian with very yellow contents ; k.o. durian ; a late stage in the *ripen|ing stage of a durian; watery;*odorless; tasteless but edible ; k.o. durian found near sago ; k.o. durian,,,,,plant,,duriang cacak ; duriang bunga rampe ; duriang pairuk ; duriang mawe ; duriang panglu/ ; duriang biji mati ; duriang atombo/m ; duriang gora ; duriang roket ; duriang mata-mata lompa ; duriang pusu ; duriang pala ; duriang mantega ; duriang payung ; duriang bapalumbang ; duriang ambulung ; duriang tewa-tewa,,,
,e,e:,part,*er; *uh ; *oh *yes (I almost forgot),pasawat e: kapal udara | plane; I mean; airplane,*hesitation~word,,,,,e: ole i:,,,
,e,edat,n,k.o. culinary preparation of raw fish; citrus fruit juice and spices; k.o. *seviche,,,kolot,,food,,,,,
,e,egang,vi,to be *odd (of o.'s gait),,,,,,,,,,
,e,eling,v,to *recall s.o.; to *remember s.o. fondly,,,,,,eling-eling,,,,
,e,eling,v,to continuously *recollect s.o.,kueling-eling kau torus | I always remember you,,,,,,,,,
,e,embing,v,to *hold s.t. in the lap,,,,,,,,,,
,e,embusang,n,*bellows; the *pump used at a forge,,,,,,,,,,
,e,endar,v,to be *mirthful and *excited; to be *gleeful and *happy,Aku endar kudapa papait capatu itu.| I was delighted to get that gift of shoes.,,,,,baendar-endar,,,,
,e,endar,vi,to be excessively gleeful and happy,,,kaendar,,,,,,,
