,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,a,ari,part,-day ; *yesterday ; *day~before~yesterday ; *three~*days~ago ; *last~*night,ari saptu| Saturday,marker for days of the week,sari ; hari-hari,,,,ari bai ; ari bai mulu bai ; ari bai mulu bai sakalina ; ari malang,,,
,a,arimata,n,*tear,,,,,,,,,,
,a,artinya,n,*meaning,,,bararti,,,,,,,
,a,aruaha,n,*spirit of the dead ; the *deceased; esp. as a title used with a personal name; the *late,kudapa lia kofiang habua ni po kuingat aruaha ka umar| I caught a glimpse of this,,almarhu/m ; mati-mati,,spiritual,baaruaha,,,,
,a,aruaha,vi,to *recite *pray|ers for the dead,,,,,spiritual,,,,,
,a,aru-aru,n,paddle-shaped *spatula,,,,,tool,,,,,
,a,arwaha,,,,,aruaha,,,,,,,
,a,asa,v,to *sharpen s.t. ; to *grind s.t. (e.g. a stone to *polish it),,,,,,asai,,,,
,a,asa,v,to sharpen or grind s.t. for s.o.,asai aku bayaka hadiki| Please sharpen my machete for me,,,,,asai akang,,,,
,a,asa,v,to sharpen or grind s.t. at s.o.'s request,,,,,,baasa,,,,
,a,asa,vi,to engage in *sharpening (with water) or grinding,,,,,,pa:sa:ng,,,,
,a,asa,n,*whetstone,,,salawa,,,,,,,
,a,asai,n,k.o. layered *cake made of sweet potatoes,,,,,,,,,,
,a,asal,n,*origin,kaluargana ia tu asala de jawa| His family originates from Java.,,ompu,,,,,,,
,a,asang jawa,n,k.o. *tree; the *tamarind; the fruits of which are used as a souring agent;,,,,,tree,,,,,
,a,asap,n,*smoke,asapa itu mutuong kita| Its smoke enveloped us.,,,,nat phen,asapi,,,,
,a,asap,v,to *smoke s.t.,taasapi bung supaya capt masak| We smoke langsat fruits so they will ripen quickly.,,,,,baasap,,,,
,a,asap,vi,to be characterized by having smoke; to smoke,taping habua ini baasap ka moyo| Is the hearth smoking or not? (Is there a fire or not?),,,,,baasapi,,,,
,a,asap,vi,to be engaged in *smoking s.t.,aku ka da: baasapi bung alengo| I went inland to work at smoking those langsat fruits,,,,,,,,,
,a,asar,n,the time for the Islamic *prayer ritual in the *mid-afternoon,,,,,,,,,,
,a,asek,vi,*enthused; *absorbed,,,,,,,,,,
,a,asrakal,n,a *verse of the Quran recited at certain *ritual|s; incl. celebration of Muhammad's,,,,,spiritual,baasrakal,,,,
,a,asrakal,vi,to *recite such a verse; usually in a standing posture,,,,,,,,,,
,a,astagapirula:/,excl,Heavens!; a pious exclamation of surprise,,,,,,,,,,
,a,ata,loc,*direction *towards~the~cape <*capeward>,ka ata | direction to the left when facing the sea,,ianta,,,,,,,
,a,atas,,,,,ata,,,,,,,
,a,atau,conj,*or ; or,bahasa walanda atau bahasa ap | Dutch or whatever language,,ka,apparently Indonesian,,,atau ka,,,
,a,ati,n,*liver ; *spleen ; *heart ; *stupid ; *lungs,,,,,body ; body ; body,,ati pait ; ati pusu ; ati pusu narutak ; ati kumbar,,,
,a,atombm,,,,,duriang atombo/m ; bom,,,,,,,
,a,atur,v,to *arrange s.t.,,,,,,ba:turang,,,,
,a,atur,vi,to make mutual *arrange|ments; to *compromise and *deal,,,,,,aturang,,,,
,a,atur,n,*arrangement; *procedure; *set-up,,,,,,,,,,
,a,au-aular,n,k.o. large-leaved *vine,,,ngguming,,plant,,,,,
,a,aur,n,*bamboo; tribe *Bambuseae ; k.o. large *bamboo; *egg~bamboo; [%*Schizostachyum~zollingeri|]; characterized by ; k.o. large; smooth; green *bamboo; [%*Gigantochloa~|sp.]; used to make fences ; k.o. yellow *bamboo; [%*Bambusa~vulgaris|]; used for furniture ; k.o. small *bamboo; used for children's toys ; k.o. small *bamboo ; k.o. *bamboo ; k.o. large *bamboo; related to %iba| ; k.o. large; tall *bamboo ; k.o. *bamboo of medium size; esp. used to make laths for thatch ; k.o. *bamboo; [%*Bambusa~arundinacea|]; with spines ; k.o. *bamboo; [%*Bambusa~arundinacea|]; with spines,,,iba,TM,plant ; plant ; plant ; plant ; plant ; plant ; plant ; plant ; plant ; plant ; plant,,aur kakumis ; aur batu ; aur cina ; aur lotu-lotu ; aur bona ; aur rapa ; aur somang ; aur tamiang ; aur tangga ; aur tewa-tewa ; aur baduri,,,
