0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3752,rabi,verb,to burn down s.t. at someone's request,,,,,,,,,,,,,,,,,,,barabi,
3753,rabi,intransitive verb,"to destroy by fire, to be engaged in burning (a swidden field)",,,,,,,,,,,,,,,,,,,parabiang,
3754,rabi,noun,"burned logs, burned out wood (in a hearth or recently burned field)",,,,,,,,,,,,,,,,,,,,
3755,rabil ahir,noun,the fourth month of the Islamic calendar,,,,,,,,,,,,,,,,,,,,
3756,rabil awal,noun,the third month of the Islamic calendar,,,,,,,,,,,,,,,,,,,,
3757,racak,,,,,,,,,,,,,,,,,,,,wowo,,
3758,raci,noun,"poison, venom",,,,,,,,,,,,,,,,,,lao raci,baraci,
3759,raci,intransitive verb,"to engage in poisoning as a task or profession, e.g. of a wicked shaman who practices",,,,,,,,,,,,,,,,,,,baraci-raci,
3760,raci,intransitive verb,to repeatedly use poisons and evil spells,,,,,,,,,,,,,,,,,,,paraci:,
3761,raci,verb,to poison someone or s.t.,,,,,,,,,,,,,,,,,,,paraci akang,
3762,raci,verb,to poison s.t. at another's request,,,,,,,,,,,,,,,,,,,,
3763,radio,noun,radio,,,,,,,,,,,,,,,,,,,,
3764,radís,noun,"kind of plant, the winter radish, (Longipinnatus Group)",,,,,,,,,,,,,Raphanus sativus,,,plant,,,,
3765,rage-rage,noun,"litter (e.g. fallen leaves, shreds of paper, etc.)",,,,,,,,,,,,,,,,,,,,
3766,ragi,noun,yeast,,,,,,,,,,,,,,,,,,,,
3767,rahasia,noun,secret,,,,,,,,,,,,,,,,,,popoje sarahasia,rahasiai,
3768,rahasia,transitive verb,"to conceal a fact, to make a secret of s.t.",nis murahasiai carita itu tu,Nis kept that story secret.,,,,,,,,,,,,,,,,,rahasia akang,
3769,rahasia,transitive verb,to conceal some fact at someone's request,,,,,,,,,,,,,,,,,,,,
3770,raja,,,,,,,,,,,,,,,,,,,,"nggaoti, nggaeka",,
3771,raja bau,noun,"kind of fish, the many-lined sweetlips,",,,,,,,,,,,,,Plectorhynchus goldmanni,,,fish,,,,
3772,rajáp,noun,the seventh month of the Islamic calendar,,,,,,,,,,,,,,,,,,,,
3773,rakát,noun,one complete cycle of the postures of the Islamic prayer ritual,,,,,,,,,,,,,,,,spiritual,,,,
3774,rakit,noun,raft,,,,,,,,,,,,,,,,,,,,
3775,ramadán,noun,"the ninth month of the Islamic calendar, during which the annual fast is observed",,,,,,,,,,,,,,,,,,udang puasa,,
3776,ramas,verb,to squeeze s.t.,Kuramas nggaoti sabokor.,I squeezed a basin full of (grated) coconut.,,,,,,,,,,,,,,,,,paramasang,
3777,ramas,noun,"the basin and attached filter used to process sago by squeezing the pith and water, any container used to squeeze or strain coconut",,,,,,,,,,,,,,,,,,,maramas,
3778,ramas,verb,"to knead (e.g. flour, sago meal)",,,,,,,,,,,,,,,,,,,,
3779,ramba-ramba,noun,"weeds, rubbish, fallen leaves, branches or fronds",,,,,,,,,,,,,,,,,,,,
3780,rambutang,noun,"kind of tree bearing edible fruit, the rambutan",,,,,,,,,,,,,Nephelium lappaceum,,,plant,,maritang,,
3781,rame,intransitive verb,to be crowded and interesting,,,,,,,,,,,,,,,,,,,kara-karameang,
3782,rame,noun,"party, usually acompanied by music and dancing",,,,,,,,,,,,,,,,,,,bakara-karameang,
3783,rame,intransitive verb,to attend or hold such parties,,,,,,,,,,,,,,,,,,,rame-rame,
3784,rame,intransitive verb,"together, as a large crowd",jadi kita musi batimumung ka mai rame-rame supaya kita bapaguna:ng,So we must assemble here all together so we can perform our work.,,,,,,,,,,,,,,,,,,
3785,rampak,,,,,,,,,,,,,,,,,,,,,narampak,
3786,rampak,intransitive verb,"to be disconnected, to fall apart",,,,,,,,,,,,,,,,,,,,
3787,rampa-rampa,noun,various kind of spices,,,,,,,,,,,,,,,,,,,,
3788,rampas,intransitive verb,"to be attractive, neat, esp. of o.'s grooming <good>",,,,,,,,,,,,,,,,,,,,
3789,rampas,verb,"to snatch s.t., to rob",,,,,,,,,,,,,,,,,,,,
3790,rampe,verb,to cut s.t. down with a rampe-rampe tool,,,,,,,,,,,,,,,,,,,rampe-rampe,
3791,rampe,noun,"kind of pole with a knife attached, used to pick fruit",,,,,,,,,,,,,,,,tool,,,,
3792,randa,intransitive verb,"low, short (of stature)",,,,,,,,,,,,,,,,,,,randa akang,
3793,randa,verb,to make s.t. lower at someone's request,,,,,,,,,,,,,,,,,,,parandai,
3794,randa,verb,to shorten the height of s.t. in a specific way (e.g. to make the height of a rafter as,kau muparandai alintangang hadiki,Lower that rafter a bit (so it is as low as the other,,,,,,,,,,,,,,,,,paranda akang,
3795,randa,verb,to make an adjustment (to a lower height) at someone's request,,,,,,,,,,,,,,,,,,,,
3796,randang,,,,,,,,,,,,,,,,,,,,,barandang,
3797,randang,intransitive verb,wet,,,,,,,,,,,,,,,,,,,parandangi,
3798,randang,verb,"to cause s.t. to be wet by soaking, dousing or spraying <douse>, to soak s.t.",,,,,,,,,,,,,,,,,,,,
3799,rantasi,noun,"kind of fish, similar to the black kingfish,",,,,,,,,,,,,,Rachycentron canadus,,,,,,,
3800,rangas,noun,"kind of plant with highly toxic leaves, perhaps",,,,,,,,,,,,,Sida rhombifolia,,,,,,,
3801,rangat,intransitive verb,spicy,,,,,,,,,,,,,,,,culinary,,,,
3802,ranggang,intransitive verb,to develop cracks and gaps (of adjoining planks),Si sapi mejana tala ranggang.,Safi's table has split apart.,,,,,,,,,,,,,,,,,,
3803,rangginang,,,,,,,,,,,,,,,,,,,,katang,,
3804,rangka,noun,"skeleton, outline, rough shape",rangka manusia,the form of a human ­,,,,,,,,,,,,,,,,,,
3805,ranycis,,,,,,,,,,,,,,,,,,,,mata ranycis,,
3806,rapa,,,,,,,,,,,,,,,,,,,,aur,,
3807,rapat,intransitive verb,"near, soon, temporally near",ce' puasa tala rapat ni,Hey! Fasting month is already at hand,,,,,,,,,,,,,,,,,rapati,
3808,rapat,transitive verb,to draw s.t. close <draw close> to someone or s.t.,,,,,,,,,,,,,,,,,,,rapat akang,
3809,rapat,transitive verb,to narrow (a gap),,,,,,,,,,,,,,,,,,,rapat-rapat,
3810,rapat,intransitive verb,very close,,,,,,,,,,,,,,,,,,,barapa-rapat,
3811,rapat,intransitive verb,to be in a close arrangement (o. after another),,,,,,,,,,,,,,,,,,,barapatang,
3812,rapat,intransitive verb,to be close to e.o.,,,,,,,,,,,,,,,,,,,parapatang,
3813,rapat,noun,"place where streets and paths meet, junction",,,,,,,,,,,,,,,,,,,,
3814,rapat,noun,meeting,,,,,,,,,,,,,,,,,Indonesian,,,
3815,rari,transitive verb,"to strip the leaves from a <sago> palm branch by slashing, to make s.t. (thatch) by stripping leaves",tala tarari otap mena taala kuriwang,"After stripping palm leaves to make thatch, then",,,,,,,,,,,,,,,,rurut,barari,
3816,rari,intransitive verb,to prepare palm fronds for making thatch by slashing off leaves,,,,,,,,,,,,,,,,,,,narari,
3817,rari,intransitive verb,to be accidentally struck by a branch,,,,,,,,,,,,,,,,,,,,
3818,rari-rari,noun,"kind of throwing tool, a piece of wood used to knock down fruit <projectile>, kind of trap, the trigger of which releases a sapling which springs at the prey",,,,,,,,,,,,,,,,tool,,,,
3819,raroang,noun,boat rollers (on shore),,,,,,,,,,,,,,,,,,,,
3820,rarongat,noun,kind of tool or pole used to pick fruit,,,,,,,,,,,,,,,,,,,,
3821,rat,intransitive verb,to sit around and gossip for a long time,,,,,,,,,,,,,,,,,,,,
3822,rata,intransitive verb,flat,,,,,,,,,,,,,,,,,,,,
3823,ratu,,,,,,,,,,,,,,,,,,,,kumku/m ratu,,
3824,ratus,numeral,hundred,saratus,one hundred,,,,,,,,,,,,marker of hundreds,,,,,,
3825,raucaga,noun,"kind of flowering vine, the leaves of which are used as a vegetable",,,,,,,,,,,,,,,,plant,,,,
3826,raup,verb,"to scoop up s.t. with the hands, to transfer processed sago meal from the trough (by scooping)",Mena song ka sana yang saehu tu muraup,"Then one of them goes there, the group",,,,,,,,,,,,,,,,,raupi,
3827,raup,verb,to scoop s.t. for someone or some specified purpose,Bena raupi tama de babat tu,Then he scoops it up and puts it in the sago container,,,,,,,,,,,,,,,,,rau-raup,
3828,raup,noun,"kind of multiple funnel to guide flour into a sago mold, kind of utensil of two leaves to scoop up sago meal, leaves, etc.",,,,,,,,,,,,,,,,sago,,,,
3828,raup,noun,"kind of multiple funnel to guide flour into a sago mold, kind of utensil of two leaves to scoop up sago meal, leaves, etc.",,,,,,,,,,,,,,,,utensil,,,,
3829,raut,verb,"to trim off s.t. (leaves, etc. from a palm midrib)",,,,,,,,,,,,,,,,,,,rauti,
3830,raut,verb,to trim s.t. for someone,,,,,,,,,,,,,,,,,,,raut akang,
3831,raut,verb,to trim s.t. at someone's request,,,,,,,,,,,,,,,,,,,baraut,
3832,raut,intransitive verb,to engage in trimming the leaves from a palm midrib,,,,,,,,,,,,,,,,,,,,
3833,rayat,noun,"the common people, the citizenry",,,,,,,,,,,,,,,,,,,,
3834,rawas,verb,to open up land for a garden by cutting down s.t. (undergrowth),,,,,,,,,,,,,,,,,,,rawasi,
3835,rawas,verb,"to clear s.t. (land) for a garden or site for a house, to cut down the undergrowth of an",musi kita tarawasi pokona puang,We must first clear out the land around the tree trunk,,,,,,,,,,,,,,,,,rawas akang,
3836,rawas,verb,to cut down s.t. at someone's request,,,,,,,,,,,,,,,,,,,marawas,
3837,rawas,intransitive verb,to be engaged in cutting back and slashing undergrowth,,,,,,,,,,,,,,,,,,,,
3838,rea,intransitive verb,big,reana,How big! (Its bigness),reana,"the size of it, its size",,,,,,,,,,,,,,,pareai,
3839,rea,verb,"to increase s.t. (e.g. the volume of a television, the luminosity of a pumped lantern), to enlarge s.t. (e.g. the size of trouser's waist or o.'s house)",,,,,,,,,,,,,,,,,,ra:,,
3840,rebus,transitive verb,"to tear, to rip",,,,,,,,,,,,,,,,,,wakis,rebus akang,
3841,rebus,transitive verb,to tear on someone's behalf,,,,,,,,,,,,,,,,,,,narebus,
3842,rebus,intransitive verb,"torn, ripped",Capatuku tala narebus.,My shoe has split apart.,,,,,,,,,,,,,,,,,,
3843,rekeng,verb,"to count s.t., to calculate, to consider s.t., to reckon s.t.",baláng duduk tarekeng tukayana tala damping saratus,If we were to sit and calculate,aku ni rekeng manycaringku kalero ini,"As for me, we can consider lime-burning my",,,,,,,,,,,,,,,barekeng,
3844,rekeng,intransitive verb,"to engage in calculating, to settle accounts",memang kita barekeng itu rugi,"Of course, we calculate that as a financial loss.",,,,,,,,,,,,,,,,,rekengang,
3845,rekeng,noun,"the count, the total",,,,,,,,,,,,,,,,,,,,
3846,rem,noun,brake (of a vehicle),,,,,,,,,,,,,,,,,,,,
3847,rembat,noun,oar,,,,,,,,,,,,,,,archaic,,,bose rembat,rembat akang,
3848,rembat,verb,to move s.t. by rowing,,,,,,,,,,,,,,,,,,,barembat,
3849,rembat,intransitive verb,to be engaged in rowing,,,,,,,,,,,,,,,,,,,,
3850,rente-rente,,,,,,,,,,,,,,,,,,,,ujang,,
3851,rentes,,,,,,,,,,,,,,,,,,,,marentes,,
3852,renggang,transitive verb,"to take apart s.t. (e.g. sago meal container), to disassemble s.t. (e.g. a wall of sago",,,,,,,,,,,,,,,,,,,renggangi,
3853,renggang,transitive verb,to take s.t. apart <take apart>,,,,,,,,,,,,,,,,,,,renggang akang,
3854,renggang,transitive verb,to take s.t. apart for someone <take apart>,,,,,,,,,,,,,,,,,,,barenggang,
3855,renggang,intransitive verb,to be engaged in disassembling <disassemble>,,,,,,,,,,,,,,,,,,,narenggang-renggang,
3856,renggang,intransitive verb,"to have come apart, to be disassembled",,,,,,,,,,,,,,,,,,,,
3857,rengit,noun,mosquito,,,,,,,,,,,,,Culicidae,,,insect,,,,
3858,renycana,noun,plan,,,,,,,,,,,,,,,,,Indonesian,,,
3859,renyjes,verb,"to scavenge for s.t., esp. durian",,,,,,,,,,,,,,,slang,,,,,
3860,rep,noun,coral reef,,,,,,,,,,,,,,,colloquial,,,karang,,
3861,repa,noun,fathom,,,,,,,,,,,,,,,,,,,,
3862,repat,verb,"to throw s.t. at someone, to stone someone",Ia murepat anasene yang baingar itu nang batu.,He tossed stones at those noisy kids.,,,,,,,,,,,,,,,,,repat akang,
3863,repat,verb,to throw things at someone at another's request,,,,,,,,,,,,,,,,,,,,
3864,rerék,noun,kind of bird,,,,,,,,,,,,,,,,bird,,,,
3865,resép,noun,recipe,,,,,,,,,,,,,,,,culinary,,,,
3866,retis,transitive verb,"to rip, to tear, esp. paper",,,,,,,,,,,,,,,,,,,naretis,
3867,retis,intransitive verb,torn,,,,,,,,,,,,,,,,,,,maretis,
3868,retis,intransitive verb,to be engaged in tearing and shredding,,,,,,,,,,,,,,,,,,,,
3869,rewit,verb,to drag s.t.,tarewit ramba-ramba tu ka da:,Let's drag those fallen branches over there,,,,,,,,,,,,,,,,,rewit-rewit,
3870,rewit,verb,to drag s.t. repeatedly,,,,,,,,,,,,,,,,,,,rewiti,
3871,rewit,verb,to drag s.t. for someone,,,,,,,,,,,,,,,,,,,rewit akang,
3872,rewit,verb,to drag s.t. at someone's request,,,,,,,,,,,,,,,,,,,barewit,
3873,rewit,intransitive verb,to engage in dragging objects (furniture or branches),,,,,,,,,,,,,,,,,,,bare-barewitang,
3874,rewit,intransitive verb,to drag e.o. repeatedly,,,,,,,,,,,,,,,,,,,,
3875,ribu,numeral,thousand,saribu,one thousand,,,,,,,,,,,,marker of thousands,,,,,,
3876,ribut,noun,"strong wind, gale, typhoon",,,,,,,,,,,,,,,,natural phenomenon,,anging,,
3877,rica,noun,"chile pepper,",,,,,,,,,,,,,Capsicum,,,plant,,,,"rica basar-basar \df kind of chile, maybe \sn Capsicum annuum var longum \sf  plant, rica jawa \df black pepper, \sn Piper nigrum \sf  plant, rica lalat \df kind of chile, maybe \sn Capsicum frutescens \sf  plant"
3878,ridis,verb,"to score s.t. slightly, i.e. to make a long shallow cut on the surface of s.t.",,,,,,,,,,,,,,,,,,,,
3879,rigap,intransitive verb,"to be out of sight, to have vanished",,,,,,,,,,,,,,,,,,,,
3880,rijikí,noun,"providential bounty, esp. food (perceived as a gift of providence), sustenance",jadi taumang rijikíta bo: puasa ni,So we seek our food for this fasting month,,,,,,,,,,,,,,,,,,
3881,riki,transitive verb,to know s.t. from experience,kamí riki ka mo barikang pake alolang,Have you ever experienced fishing with,,,,,,,,,,,,,,,,,,
3882,riri,,,,,,,,,,,,,,,,,,,,,riri akang,
3883,riri,verb,"to burn s.t. at another's request (a heap of leaves, etc.)",,,,,,,,,,,,,,,,,,,nariri,
3884,riri,intransitive verb,to flame up excessively,,,,,,,,,,,,,,,,,,,,
3885,risi,,,,,,,,,,,,,,,,,,,,barisi,,
3886,ro:,,,,,,,,,,,,,,,,,,,,,naro:,
3887,ro:,intransitive verb,to unintentionally cave in,,,,,,,,,,,,,,,,,,,,
3888,robut,intransitive verb,"to attack (of disease and illness), to be virulent",Malaria murobut .,There was an attack of malaria.,,,,,,,,,,,,,,,,,,
3889,robó,noun,Wednesday,,,,,,,,,,,,,,,,,,,,
3890,roci,intransitive verb,"curly, kinky (of hair)",,,,,,,,,,,,,,,,,,,,
3891,rodak,intransitive verb,"to fall, to suffer a serious decline (e.g. in purchasing power, in strength)",a itu paling tinggi sapatang rodak barang lima anang biji,"Well, as for that, at the most",badangmu tala rodak,Your bodyweight has declined,tukaya rodak ini ke bahaláng tabatak barisi,The price will go down even if we bring in,,,,,,,,,,,Malay,,narodak,
3892,rodak,intransitive verb,to have fallen,,,,,,,,,,,,,,,,,,anaka rodak,,
3893,rofofel,noun,"revolver, handgun",,,,,,,,,,,,,,,,,,,,
3894,roka,verb,to pass by someone,,,,,,,,,,,,,,,casual,,,,,
3895,roka,intransitive verb,to go by in a certain direction,aku roka bausi gareja alengo,I passed through via the church earlier,,,,,,,,,,,,,,,,,,
3896,roka,exclamation,"Excuse me, a polite utterance as one passes in front of someone (while bowing slightly)",roka hadiki,Please excuse me (as I pass before you),,,,,,,,,,,,,,,,,rokai,
3897,roka,verb,to pass by someone or s.t.,alengo ku ka ba: itu ku rokai si Sapino to rumana,Just now I went over there to the,,,,,,,,,,,,,,,,,roka akang,
3898,roka,verb,to pass by s.t. at someone's request,,,,,,,,,,,,,,,,,,,rokai akang,
3899,roka,verb,to go a certain route at someone's request,,,,,,,,,,,,,,,,,,,baroka:ng,
3900,roka,intransitive verb,to pass by e.o.,kita tala baroka:ng ke halit mukilala mo aku,We passed by each other but Chalid did,,,,,,,,,,,,,,,,,parokai,
3901,roka,verb,to assist someone in passing by s.t. (e.g. to help an old person cross a busy street),,,,,,,,,,,,,,,,,,,,
3902,roket,,,,,,,,,,,,,,,,,,,,duriang roket,,
3903,roko-roko,noun,kind of cylindrical cake of cassava and palm sugar wrapped in banana  leaf,,,,,,,,,,,,,,,,food,,,,
3904,romo,noun,"remnants, left-over food scraps (e.g., a few rice grains adhering to a plate or sago granules in the bottom of o.'s glass), the last fruits of a season",,,,,,,,,,,,,,,,,,,,
3905,romok,verb,"to cause to fall apart, to cause to flake or to granulate  <crumble>, to pulverize scraped sago pith with the hands before processing it in the filter basin",,,,,,,,,,,,,,,,,,"podas, tatas",romoki,
3906,romok,verb,to pulverize s.t. for someone,,,,,,,,,,,,,,,,,,,romok akang,
3907,romok,verb,to pulverize at someone's request,,,,,,,,,,,,,,,,,,,baromok,
3908,romok,intransitive verb,to be engaged in pulverizing,,,,,,,,,,,,,,,,,,,paromoki,
3909,romok,verb,to refine pulverized material so it is even more finely crumbled,,,,,,,,,,,,,,,,,,,romok-romok,
3910,romok,intransitive verb,"completely pulverized, smashed, or crushed",,,,,,,,,,,,,,,,,,,,
3911,romuk,noun,kind of disease causing sores on the elbows,,,,,,,,,,,,,,,,,,,,
3912,rondas,verb,"to rub s.t., esp. with some tool, to scrape away s.t. (body grime) with a stone",rondas meja,to scrape a table top with sand,,,,,,,,,,,,,,,,,rondasi,
3913,rondas,verb,to rub s.t. smooth for someone,,,,,,,,,,,,,,,,,,,barondas,
3914,rondas,intransitive verb,to engage in grinding or rubbing,,,,,,,,,,,,,,,,,,,,
3915,rondis,noun,"kind of skin disease, kind of scabies",,,,,,,,,,,,,,,,health,,,,
3916,rong,noun,"stagnant water, swamp, puddle, mud",,,,,,,,,,,,,,,,,,,baróng,
3917,rong,intransitive verb,"to stagnate, to form puddles, to have many puddles, swampy",,,,,,,,,,,,,,,,,,,,
3918,rongat,,,,,,,,,,,,,,,,,,,,rarongat,,
3919,ropat,verb,to twist or braid s.t. (lengths of rope) into a larger rope,,,,,,,,,,,,,,,,,,,ropat akang,
3920,ropat,verb,to twist s.t. for someone else,,,,,,,,,,,,,,,,,,,maropat,
3921,ropat,intransitive verb,to be twisted together (of ropes),,,,,,,,,,,,,,,,,,,,
3922,rorasa,,,,,,,,,,,,,,,,,,,,,barorasa,
3923,rorasa,intransitive verb,"to consolidate the spiritual force of a place (a village, a  neighborhood, etc.) in order to expel or withstand disease or evil spirits by moving en  masse from corner to corner of the place and reciting prayers",,,,,,,,,,,,,,,,spiritual,,,,
3924,rore,noun,"pebble, gravel",,,,,,,,,,,,,,,,,,,,
3925,roti,noun,"baked goods made of wheat, incl. bread, crackers",,,,,,,,,,,,,,,,food,,,,roti coe \df kind of steamed bun \sf  food
3926,roto,noun,"kind of very large fish, apparently a kind of cod 2-3 m. in length",,,,,,,,,,,,,Gadidae,,,fish,,,,
3927,rox,noun,soul,,,,,,,,,,,,,,,,spiritual,,,,
3928,r:u,ideophone,sound of heavy rain on the roof,,,,,,,,,,,,,,,,,,,,
3929,ruas,noun,"joint, knuckle",,,,,,,,,,,,,,,,body,,onda-onda,ruas-ruas,
3930,ruas,noun,wrist,,,,,,,,,,,,,,,,body,,,,
3931,ruci,intransitive verb,to cheat in a game,,,,,,,,,,,,,,,,,,,,
3932,rugi,intransitive verb,"to suffer a financial loss <lose money>, to suffer a set-back",,,,,,,,,,,,,,,,,,,,
3933,rugi,noun,financial loss,kita barekeng itu rugi,We consider that a net loss.,,,,,,,,,,,,,,,,,barugi,
3934,rugi,intransitive verb,to experience significant or repeated financial losses,kau kawing aku yang barugi,You got married but it was me who bore the financial,,,,,,,,,,,,,,,,,parugi,
3935,rugi,verb,to cause someone to suffer financial loss,,,,,,,,,,,,,,,,,,,karugiang,
3936,rugi,noun,a source or cause of financial or temporal loss,,,,,,,,,,,,,,,,,,,,
3937,rujak,noun,"kind of vegetable dish, a salad",,,,,,,,,,,,,,,,food,,,,rujak pusu \df a sour salad made of sliced male banana flower \sf  food
3938,ruju,transitive verb,"to poke at someone or s.t. with a long instrument (e.g., pole)",,,,,,,,,,,,,,,,,,,rujui,
3939,ruju,verb,to poke at s.t. for s.o,murujui aku kayu tu itu,Poke at that piece of wood for me (and pull it towards me),,,,,,,,,,,,,,,,,ruju akang,
3940,ruju,verb,to poke at s.t. at someone's request,,,,,,,,,,,,,,,,,,,,
3941,rukí,noun,"a posture in the Islamic prayer ritual, a profound bow",,,,,,,,,,,,,,,,,,,baruku/,
3942,rukí,intransitive verb,to perform such a ritual,,,,,,,,,,,,,,,,,,,,
3943,ruma,noun,house,,,,,,,,,,,,,,,,,,,,"ruma balak \df a wooden house, ruma batu \df a brick, cement or stone house \sf  house, ruma kanycing \df a house built with prefit timber partially assembled before erecting \sf  house, ruma reana \df the public space of a house, parlor, ruma tinggi \df a house built on posts high above the ground \sf  house \df public building, ruma agama \df shrine, place of worship, ruma batutuk \df smithy, forge \af  parumai \ps  v \df to cover s.t. with a roof or temporary shelter \af  paruma:ng \ps  n \df site of a former house, a place where there was formerly a house \af  ruma-ruma \ps  n \df s.t. similar to a house, a building or roofed structure \il  ruma-ruma agama house of worship \crm  ba:ruma \crm  mata parumangina"
3944,ruma-ruma,noun,"kind of fish, perhaps the Australian bonito,",,,,,,,,,,,,,"Sarda chiliensis australis, or the, Cybiosarda elegans",,,fish,,,,
3945,rumbe,noun,kind of round earthenware water vessel,,,,,,,,,,,,,,,,utensil,,,,
3946,runding,,,,,,,,,,,,,,,,,,,,,barunding,
3947,runding,intransitive verb,"to hold deliberations, to engage in negotiations <deliberate> <negotiate>",musi barunding puang nang inaku,It will be necessary to hold discussions with my,,,,,,,,,,,,,,,,,,
3948,ruo,verb,"to spread out with the hand to dry, e.g., sago meal, cloves or chile peppers",,,,,,,,,,,,,,,,,,baku ruo,,
3949,rupa,noun,face,,,,,,,,,,,,,,,,body,,muka,,
3950,rupa,noun,"variety, kind, species",,,,,,,,,,,,,,,,,,,,"rupa deminya/ \df in what way, how \af  rupa-rupa \ps  n \df various kinds \il  rupa-rupa ituka  She bought all kinds of things \af  barupa \ps  vi \df to be in a certain shape or form \df to take a certain form, to transform o.s."
3951,rupia,noun,"rupiah, the national currency of Indonesia",,,,,,,,,,,,,,,,,,doit,,
3952,rurak,verb,to jab s.t. with a pole,,,,,,,,,,,,,,,,,,,,
3953,rurak,intransitive verb,to be rotten or infected from some external point far into the interior (of an infected,,,,,,,,,,,,,,,,,,porut marurak,,
3954,rurus,intransitive verb,straight,,,,,,,,,,,,,,,,,,,parurusi,
3955,rurus,verb,to straighten s.t.,,,,,,,,,,,,,,,,,,,,
3956,rurut,verb,to strip the leaves from a palm midrib or bamboo stem by ripping with the hand,,,,,,,,,,,,,,,,,,rari,ruruti,
3957,rurut,verb,to strip leaves from s.t. for someone,ruruti kami kumbar habua,Strip a sago midrib for us,,,,,,,,,,,,,,,,,rurut akang,
3958,rurut,verb,to strip leaves from s.t. at someone's request,,,,,,,,,,,,,,,,,,,barurut,
3959,rurut,intransitive verb,to perform this ripping activity,,,,,,,,,,,,,,,,,,,paruruti,
3960,rurut,verb,to strip leaves thoroughly from a stem,adaing kuparuruti kamu: iba tu,In a while I'll strip the leaves from that bamboo for you,,,,,,,,,,,,,,,,,,
3961,rusak,intransitive verb,"spoiled, ruined",,,,,,,,,,,,,,,,,,,,
3962,rusik,,,,,,,,,,,,,,,,,,,,,barusik,
3963,rusik,intransitive verb,"to twitch, to move erratically or swiftly, to dart around",puasa dalama ia musi barusik ga maumang ongkosa ia puasa,During Ramadan o. must,,,,,,,,,,,,,,,,,barusik-rusik,
3964,rusik,intransitive verb,"to twitch repeatedly (e.g., a dying fish)",,,,,,,,,,,,,,,,,,,parusik akang,
3965,rusik,verb,"to cause s.t. to twitch or move slightly (without visible cause, e.g., by pulling a",,,,,,,,,,,,,,,,,,,,
3966,rusu-rusu,noun,rib,,,,,,,,,,,,,,,,body,,parusuk,,
3967,rutak,intransitive verb,"to be crushed, to be rotten (falling to pieces)",kofo ilau tu balama:ng rutak,A net at sea will eventually fall apart,,,,,,,,,,,,,,,,,baru-barutakang,
3968,rutak,intransitive verb,"to be in a crushed and damaged state (of many things, e.g. dozens of fallen mangos",,,,,,,,,,,,,,,,,,,parutaki,
3969,rutak,verb,to crush s.t.,,,,,,,,,,,,,,,,,,,,
3970,sa,,,,,,,,,,,,,,,,,,,,sia/,,
3971,sa-,numeral,one,saudang,a month,sajuta mitu,one million or so,,,,,,,,,,,,,,"ha-, sabua",,
3972,sabageang,pronoun,"some, a part",,,,,,,,,,,,,,,,,,bage,,
3973,sabal,intransitive verb,"to have no appetite for food, to have no desire for s.t., to reject in a listless way suggesting ennui",nyawaku sabal bausi rapat nang kamí,I feel disinterested in attending the meeting,kudapa lia laulak habua nyawaku sabal,When I saw the game I had no inclination to,,,,,,,,,,,,,,,,
3974,sabala nyawa,noun,three-fourths of a fathom,,,,,,,,,,,,,,,archaic,,,,,
3975,sabalumnya,conjunction,before,,,,,,,,,,,,,,,,,Indonesian,,,
3976,sabalé,verb,"to ritually slaughter s.t., to cut the throat of someone or s.t.",,,,,,,,,,,,,,,,,,,sabalé akang,
3977,sabalé,verb,to slaughter s.t. at someone's request,,,,,,,,,,,,,,,,,,,basabalé,
3978,sabalé,intransitive verb,to engage in slaughtering,nampisiang ari raya po si umar basabalé sapi,Tomorrow's the sawál holiday so,,,,,,,,,,,,,,,,,,
3979,sabang,pronoun,"every, each",,,,,,,,,,,,,,,,,,,,
3980,sabapnya,noun,reason,,,,,,,,,,,,,,,,,Indonesian,,,
3981,sabar,intransitive verb,to be patient,,,,,,,,,,,,,,,,,,,basabar-sabar,
3982,sabar,intransitive verb,to maintain o.'s patience,,,,,,,,,,,,,,,,,,,,
3983,sabarang,pronoun,"any kind, whatever",,,,,,,,,,,,,,,,,,,,
3984,sabarang,noun,s.t. inferior or impossible,,,,,,,,,,,,,,,,,,,,
3985,sabayá,pronoun,"how many, how much",jam sabayá,What time?,kawila nomor sabayá,A hook of what number (size)?,sakayu itu hasila sabayá,How much is the yield from one of those trees?,,,,,,,,,,,,sapa,,
3986,sabeba,noun,"loincloth, any cloth used temporarily to cover o.'s private parts",,,,,,,,,,,,,,,,clothing,,malo,sabebai,
3987,sabeba,verb,"to clothe someone in a loincloth, to adjust someone's loincloth (e.g. for a traditional dance)",,,,,,,,,,,,,,,,,,,sabebai akang,
3988,sabeba,verb,to clothe someone in a loincloth at someone's request,,,,,,,,,,,,,,,,,,,sabeba akang,
3989,sabeba,verb,to clothe someone in a loincloth at someone's request,,,,,,,,,,,,,,,,,,,basabeba,
3990,sabeba,intransitive verb,to wear a loincloth,,,,,,,,,,,,,,,,,,,pasabebai,
3991,sabeba,verb,"to arrange clothing esp. a sarong, as if it were a loincloth, for someone (e.g. bringing the",ia tala mupasabebai adina yogo batiang buang,He has adjusted his brother's sarong,,,,,,,,,,,,,,,,,pasabebai akang,
3992,sabeba,verb,to arrange clothing into a loincloth for someone at someone's request,pasabebai akang adimu,Adjust your brother's sarong into a loincloth for him.,,,,,,,,,,,,,,,,,,
