no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
159,ande-ande₁,noun,"popular term, esp. a codeword, catchword, nickname",,,,,,,,,,,,,,,,,,,ande-ande akang,,,FALSE
160,ande-ande₂,verb,"to provide a nickname, to label someone",Kuande-ande akang ia,I gave him an unflattering nickname,,,,,,,,,,,,,,,,,,,,FALSE
161,ande-ande₃,conjunction,if,ande-ande saiku lima pulu ...,If one fish is fifty (rupiah)...,,,,,,,,,,,,,,,,,,,,FALSE
162,andeket,noun,"a young person, youth",andeket jawa ini katakutang,This Javanese youth became frightened.,,,,,,,,,,,,,,,,anak,,,,FALSE
163,anei,noun,"kind of sea fish, incl. Coral trout and Tiger trout",,,,,,,,,,,,,Plectropoma maculatum,,,fish,,,,,,FALSE
164,aniaya,verb,"to ruin something, to beat someone thoroughly",manusia muaniaya itu kaleronta,"Someone ruined it, our bonfire",,,,,,,,,,,,,,,,,,,,FALSE
165,antara,preposition,between,antara fini nang fini,between planting seeds,,,,,,,,,,,,,,,,mamananga,,,,FALSE
166,antaranya,,,,,,,,,,,,,,,,,,,,di antaranya,,,,FALSE
167,antarjiwa,noun,kind of bird,,,,,,,,,,,,,,,,bird,,,,,,FALSE
168,antawali₁,noun,"kind of plant used in preparing bitter, medicinal concoctions",,,,,,,,,,,,,Tinospora tuberculata,,,plant,,,,,,FALSE
168,antawali₂,noun,"kind of plant used in preparing bitter, medicinal concoctions",,,,,,,,,,,,,Tinospora tuberculata,,,food,,,,,,FALSE
169,anti,noun,opposite,,,,,,,,,,,,,,,casual,,,,,,,FALSE
