no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
14,adaing₂,verb,to await someone,Cece balampo adaing aku,Don't go,wait for me.,,,,,,,,,,,,,,,adang,,,,FALSE
15,adang₁,,,,,,,,,,,,,,,,,,,,,adangi,,,FALSE
16,adang₂,verb,"to wait for someone, to await someone",torus kami barikang tala pake adangi mo,Then we went fishing,we had no use for,,,,,,,,,,,,,,,,adangi akang,,,FALSE
17,adang₃,verb,to wait for someone at someone's request or on someone's behalf,,,,,,,,,,,,,,,,,,,ba:baada:ng,,,FALSE
18,adang₄,intransitive verb,"to wait (of several people), to wait a very long time",po musi kamú ba:baada:ng nang motor itu,That's why all of you must wait for that,,,,,,,,,,,,,,,,,paadang,,,FALSE
19,adang₅,verb,to wait for someone a long time,,,,,,,,,,,,,,,,,,,,,,FALSE
20,adapang₁,,,,,,,,,,,,,,,,,,,,,adapangi,,,FALSE
21,adapang₂,verb,to face someone,,,,,,,,,,,,,,,,,,,baadapangang,,,FALSE
22,adapang₃,intransitive verb,to be face to face,,,,,,,,,,,,,,,,,,,,,,FALSE
23,adat,noun,"customs, traditions, manners",,,,,,,,,,,,,,,,society,,,,,,FALSE
24,ade:,exclamation,"ooh, a cry of pain",,,,,,,,,,,,,,,,,,,,,,FALSE
25,ade: de: de:,exclamation,"ooh, a groan when experiencing persistent pain",,,,,,,,,,,,,,,,,,,,,,FALSE
26,adi,noun,younger sibling,adingku bini-bini,my sister,musi barunding puang nang inaku nang inaku kakana nang adina mena,Then we must confer with my mother and with my mother's older and younger siblings first.,,,,,,,,,,,,,,,,"adi tiri \df step-sister, step-brother",,FALSE
27,ado:,exclamation,"ouch, a cry of sudden pain",,,,,,,,,,,,,,,,,,,,,,FALSE
28,ado,,,,,,,,,,,,,,,,,,,,molo molo ado,,,,FALSE
29,ado: do: do:,exclamation,"ow, a wail when being beaten",,,,,,,,,,,,,,,,,,,,,,FALSE
30,adrés,noun,address,,,,,,,,,,,,,,,,,,,,,,FALSE
31,adu,noun,kind of intestinal disease characterized by hardness or swelling in the upper abdomen,,,,,,,,,,,,,,,,health,,,,,,FALSE
32,aduping,noun,flood,,,,,,,,,,,,,,,,,,,,,,FALSE
33,agama,noun,religion,,,,,,,,,,,,,,,,spiritual,,,,,,FALSE
34,agas,noun,gnat,,,,,,,,,,,,,Ceratopogonidae,,,insect,,,,,,FALSE
35,ahalí₁,noun,"family member, distant relative",,,,,,,,,,,,,,,,,,,saahalí,,,FALSE
36,ahalí₂,noun,"one family, a family relationship",,,,,,,,,,,,,,,,kinship,,,,,,FALSE
37,aherát,noun,"the eternal world, the place of life after death <eternity>",,,,,,,,,,,,,,,,,,"bobato ahera/t, dunia/",,,,FALSE
38,ahir,noun,conclusion,,,,,,,,,,,,,,,,,,,,,,FALSE
39,ahirnya,conjunction,finally,,,,,,,,,,,,,,,,,Indonesian,,,,,FALSE
40,ahát,noun,Sunday,,,,,,,,,,,,,,,,,,,,,,FALSE
41,ai,exclamation,"hey, exclamation of surprise or admonition",ai kamú ke inga-ingat bahasanta tu i:,"Hey, all of you should always be mindful of that",,,,,,,,,,,,,,,,,,,,FALSE
42,air goraka,noun,a beverage of ginger and palm sugar,,,,,,,,,,,,,,,,,Malay,,,,,FALSE
43,ajar₁,verb,"to teach someone or something, to scold someone",nyawaku mantak po kuajar si Umar,I was really offended so I told Umar off,,,,,,,,,,,,,,,,,ajari,,,FALSE
44,ajar₂,verb,to teach someone,,,,,,,,,,,,,,,,,,,ajari:,,,FALSE
45,ajar₃,intransitive verb,to scold someone intensively,,,,,,,,,,,,,,,,,,,ajar akang,,,FALSE
46,ajar₄,verb,to teach something at someone's request,,,,,,,,,,,,,,,,,,,ba:jajarang,,,FALSE
47,ajar₅,intransitive verb,to  argue with and scold someone,,,,,,,,,,,,,,,,,,,palajari,,,FALSE
48,ajar₆,verb,"to teach intensively with training and demonstration, to instruct <demonstrate>",Bapaku mupalajari andeket tu basilap,My father instructs that youngster in martial arts,,,,,,,,,,,,,,,,,,,,FALSE
49,ajarang,noun,horse,,,,,,,,,,,,,Equus caballus,,,animal,,,,,,FALSE
50,ajeri,verb,"to rip open a fish gill, to kill freshly taken fish",,,,,,,,,,,,,,,,fishing,,,,,,FALSE
51,ajeri:,verb,"to berate someone, to excoriate someone",,,,,,,,,,,,,,,,,Malay,jejer,,,,FALSE
52,ajimat,noun,"charm, a token carried to protect the bearer",,,,,,,,,,,,,,,,,,,,,,FALSE
53,akal,noun,"mind, intelligence, cunning, mental solution, resolution (of a problem)",akal barisi,many ways to solve (a problem),,,,,,,,,,,,,,,,,,,,FALSE
54,akan,,,,,,,,,,,,,,,,,,,,akang,,,,FALSE
55,akang₁,,,,,,,,,,,,,,,,,,,Indonesian,,,,,FALSE
56,akang₂,particle,"will, shall, about to",a itu akang tida bisa,"So, that will be impossible.",adaing kapala perkebunan akang mubei mangarti,Later the agriculture officer will,,,,,,,,,,future marker,,,Indonesian,,,,,FALSE
57,adaing₃,preposition,"regarding, with respect to",kau mucamuni akang de ruma habua puang,You should have hidden it in a house for,,,,,,,,,,,,"a postverbal particle marking causation, benefaction or instrumentality",,,,,,,,FALSE
58,akang₃,conjunction,"however, nonetheless",a kita balapetak yogo ka da: bakaya akang kani: lapetak ni lambat,"So we garden and go inland to collect sago pith, nonetheless it is certain the garden will be late (for harvesting)",,,,,,,,,,,,,,,,,,,,FALSE
59,akar,noun,root,,,,,,,,,,,,,,,,,,,,"akar kuning \ps  n \df carrot, \sn Daucus carota \sf  food",,FALSE
60,aku₁,pronoun,"I, me",aku yogo kutanyai kau habua hadiki,"I want to ask you about something, please.",haiku ini mubei aku doit tolu ratus ka mai,This guy gave me three hundred rupiah,,,,,,,,,,"first person singular, emphatic",informal,,,"iku,, ngku,, ku,, ku-, dangang",,,,FALSE
61,aku₂,,,,,,,,,,,,,,,,,,,,,akui,,,FALSE
62,aku₃,verb,to admit something,kuakui laki-laki tu memang jagona,I admit that man surely has prowess,,,,,,,,,,,,,,,,mangaku,,,,FALSE
63,akí,noun,"storage battery, car battery",,,,,,,,,,,,,,,,,,batre/,,,,FALSE
64,ala,verb,"to take something, to assume something as a starting point for calculations",nyawana ia ma bei ga tu muala jamingku,Whose heart let him take my watch? (Who,basaláng ala de tanggal kani: ahat tu sak,"If you start with the calendar, then it surely",,,,,,,,,,,,,,,,"ala paisu \df to be absorbent (said of sago bread) <sop> \il  baku ini ma ala paisu This sago bread sops up the sauce \crm  sika \af  ala akang \ps  v \df to take on behalf of someone \il  Muala akang aku tabakone Get some cigarettes for me. \af  baala \ps  vi \df to be engaged in taking <take> \il  Baala ga de ini. Take from here, toone \il  baala les to take dues, baala nyawa \df to curry favor (e.g. of one's boss) \af  baalala:ng \ps  vi \df to be intertwined, to be criss-crossed, to be tied up in a multitude of knots, etc. \il  Ada filinggir dua biji baalala:ng. There are two kites criss-crossed. \df to argue with each other \crm  sika",,FALSE
65,ala:,exclamation,"Lord!, exclamation of surprise or disapproval",ala: tauli ka lau majang,Lord! We looked out towards the horizon and it was great!,,,,,,,,,,,,,,,,ya ala,,,,FALSE
66,ala-alang,,,,,,,,,,,,,,,,,,,,"alang-alang, manuk ala-alang",,,,FALSE
67,alabobo,noun,kind of small mollusc found in muddy riverbanks,,,,,,,,,,,,,,,,mollusc,,,,,,FALSE
68,alahumadafá,exclamation,"Good lord!, exclamation of surprise or shock",,,,,,,,,,,,,,,,,,,,,,FALSE
69,alalungang,noun,small waves,,,,,,,,,,,,,,,,,,alualungang,,,,FALSE
70,alam,noun,nature,,,,,,,,,,,,,,,,,,,,,,FALSE
71,alang-alang,noun,"kind of grass, alang-alang",,,,,,,,,,,,,Imperata cylindrica,,,,,,,,,FALSE
72,alangang,noun,"inhibitory factor, problem",kami ini nang alangang po pauli mo balampo jau,We have a difficulty to deal with so,,,,,,,,,,,,,,,,,,,,FALSE
73,alap₁,,,,,,,,,,,,,,,,,,,,,alap akang,,,FALSE
74,alap₂,verb,to invite someone (at another's request) to a ritual meal,Mualap akang langker inycana kamai.,Invite that elder there to  come here.,,,,,,,,,,,,,,,,,alap-alap,,,FALSE
75,alap₃,noun,"those invited to a ritual meal, guests",alap-alap di dodak tala kapo ka bolung,Have those invited earlier already arrived or,,,,,,,,,,,,,,,,,baalap-alap,,,FALSE
76,alap₄,intransitive verb,to extend invitations for a ceremony,,,,,,,,,,,,,,,,,,undang,,,,FALSE
77,alapi:,verb,to take for someone,Mualapí: aku glas aku yogo kulonggar paisu.,Get me a glass,I want to drink some,,,,,,,,,,,,,,,ala,,,,FALSE
78,alat,noun,"tool, equipment",,,,,,,,,,,,,,,,,,,,alat pakakas \df requisite equipment \af  baalat \ps  vi \df to be equipped or characterized by a tool \crm  pakakas \sf  tool,,FALSE
79,alawís,noun,"kind of bird, hawk or kite of the family Accipitridae",,,,,,,,,,,,,,,,bird,,,,,,FALSE
80,ale-ale₁,,,,,,,,,,,,,,,,,,,,,ale-ale akang,,,FALSE
81,ale-ale₂,transitive verb,"to soothe someone (an infant) by dancing or singing, to lullaby someone",,,,,,,,,,,,,,,,,,,baale-ale,,,FALSE
82,ale-ale₃,intransitive verb,to lullaby or amuse and soothe children,,,,,,,,,,,,,,,,,,,,,,FALSE
83,alelendí,noun,kind of epiphytic fern,,,,,,,,,,,,,Drynaria rigidula <epiphyte>,,,plant,,,,,,FALSE
84,alengo,particle,"a moment ago, mentioned earlier, aforesaid",alengo kulanggari pasar sunyi manusia mo,A few minutes ago I passed by the market.,...supaya daung alengo itu dadi kasal,...so that the aforementioned leaves become,,,,,,,,,,,,,,,,,,FALSE
85,alhamdu,,,,,,,,,,,,,,,,,,,,sukur alhamdu,,,,FALSE
86,alidaráng,noun,kind of traditional fried cake made of rice flour and palm sugar,,,,,,,,,,,,,,,,,,,,,,FALSE
87,alifuru,noun,"animist, pagan, to be a naive person, to behave like a rustic or unsophisticated person (e.g. to be",si jani alifuruna,Mujani's lack of sophistication is really something.,,,,,,,,,,,,,derogatory,,,,,,,FALSE
88,alilipang,noun,"centipede, class Chilopoda",,,,,,,,,,,,,,,,insect,,"alimamayang, calumeme",,,,FALSE
89,alim,verb,pious,,,,,,,,,,,,,,,,,,,,,,FALSE
90,alimamayang,noun,"kind of luminescent centipede, class Chilopoda",,,,,,,,,,,,,,,,insect,,"alilipang, calumeme",,,,FALSE
91,alimarang,particle,last night,,,,,,,,,,,,,,,,,,ari malang,,,,FALSE
92,alimpapat,noun,"firefly, ladybug",,,,,,,,,,,,,"Lampyridae, Coccinellidae",,,insect,,,,,,FALSE
93,alimposuk,noun,"whale, order Cetacea",,,,,,,,,,,,,,,,sea creature,,"posuk, paus-paus",,,,FALSE
94,alinamung,noun,"a sea plant, with clusters of strap-like leaves",,,,,,,,,,,,,,,,plant,,,,,,FALSE
95,alinang kalo,noun,"kind of snake, probably the flat sea snake",,,,,,,,,,,,,Pelamis platurus,,,sea creature,,ular,,,,FALSE
96,alintangang,noun,the cross-beam supporting ceiling boards,,,,,,,,,,,,,,,,house,,lintang,,,,FALSE
97,alinggoi,noun,"kind of lizard, perhaps, kind of lizard, perhaps a chameleon",,,,,,,,,,,,,"Mabouya multifasciata, Calotes",,,animal,,,,,,FALSE
98,aliofa,noun,"kind of large, pink fish, remarkable for its long tongue",,,,,,,,,,,,,,,,fish,,,,,,FALSE
99,Allah,noun,God,,,,,,,,,,,,,,,,,,"alahumadafa/, insallah, ompu lahtala, ya ala, ya ilahi",,,,FALSE
100,almanangkir,noun,the two angels who question the spirit of the dead,,,,,,,,,,,,,,,,spiritual,,"mungkar, nakir, malaekat",,,,FALSE
101,almanák,noun,calendar,,,,,,,,,,,,,,,,,,tanggal,,,,FALSE
102,almarhúm,noun,"the deceased, the late, a sobriquet attached to the name of the dead",almarhiúm pa umar,"Mr. Umar, the deceased",,,,,,,,,,,,,,,,"mati-mati, aruaha",,,,FALSE
103,alolang,noun,twine (esp. one made of palm fiber),,,,,,,,,,,,,,,,,,,,,,FALSE
104,alolong,,,,,,,,,,,,,,,,,,,,datuk,,,,FALSE
105,alu,noun,mortar,,,,,,,,,,,,,,,,,,,,,,FALSE
106,alu-alu,noun,"kind of fish, barracuda",,,,,,,,,,,,,"Agrioposphyranea barracuda, Sphyraena",,,fish,,,,,,FALSE
107,alu-alungang,noun,wave,,,,,,,,,,,,,,,,natural phenomenon,,suru-surung,,,,FALSE
108,alus₁,intransitive verb,"small, fine",,,,,,,,,,,,,,,,,,,alusa,,,FALSE
109,alus₂,noun,"very fine substance, particle, dust, the small one",,,,,,,,,,,,,,,,,,,alu-alus,,,FALSE
110,alus₃,intransitive verb,"very fine, extremely small",ujang alu-alus,a very light shower,,,,,,,,,,,,,,,,,,,,FALSE
111,aman,intransitive verb,"peaceful, at peace",jadi rencana alengo itu gagal karna tala aman,"Thus, that plan of theirs failed because it",,,,,,,,,,,,,,,,,,,,FALSE
112,amas,noun,gold,,,,,,,,,,,,,,,,,,,,,,FALSE
113,amas tampawang,,,,,,,,,,,,,,,,,,,,mas tampawang,,,,FALSE
114,amasing kali,noun,a village somewhat inland from Labuha's north side,,,,,,,,,,,,,,,,place name,,,,,,FALSE
115,amasing kota,noun,"the northeastern side of Labuha, where most Bacan speakers reside",,,,,,,,,,,,,,,,place name,,,,,,FALSE
116,ambasaya,noun,"peasant, common folk (without a palace rank)",,,,,,,,,,,,,,,archaic,society,,,,,,FALSE
117,ambat₁,verb,"to erect obstructions, to dam a river, to cast a net (in order to block a school of fish) in a certain direction",Ambat ka kairi,Cast lefthand,,,,,,,,,,,,,,,,,ambati,,,FALSE
118,ambat₂,verb,to obstruct something,,,,,,,,,,,,,,,,,,,amba-ambat,,,FALSE
119,ambat₃,noun,"sago midribs added to the sides of a boat to deflect waves, a temporary strake, any obstruction, temporary door, etc.",,,,,,,,,,,,,,,,sailing,,,,,,FALSE
120,ambaya,conjunction,"when, at the time that, at the beginning",Ambaya ujang pasi batodu de jojaga.,"When it began to rain, they sought shelter in a","ambaya motor itu kapo de ini, kami barikang","When the motorboat arrives here, we will",,,,,,,,,,,,,,,,,,FALSE
121,ambon,noun,"an island, Ambon",,,,,,,,,,,,,,,,,,,,,,FALSE
122,ambulung,noun,sago palm,bakaya de siá ambulunga,You're going to process sago flour at whose sago palms?,,,,,,,,,,,Metroxylon,,,sago,,,,"ambulung duri puti \df kind of sago palm with pale green thorns \sf  sago, ambulung licing \df kind of thornless sago palm, with very sharp leaves \sf  sago, ambulung pulutang \df kind of large sago palm \sf  sago, ambulung nggani \df kind of sago palm bearing little pith but harvested for its midribs and bark \sf  sago, ambulung sike/ \df kind of sago palm \sf  sago, ambulung soang \df kind of large sago palm \sf  sago, ambulung tirus \df kind of sago palm with a tapering base \sf  sago \crm  baku \crm bakaya",,FALSE
123,aming,,,,,,,,,,,,,,,,,,,,ga aming,,,,FALSE
124,amo,noun,"kind of tree bearing edible fruit, the breadfruit",,,,,,,,,,,,,Artocarpus altilis,,,,Malay,bakar,,,,FALSE
125,ampa,,,,,,,,,,,,,,,,,,,,ampat,,,,FALSE
126,ampar₁,verb,"to open up, to spread out (e.g., a sheet, a mat, etc.)",,,,,,,,,,,,,,,,,,,ampari,,,FALSE
127,ampar₂,verb,to spread something out for someone,Ampari aku tikar.,Spread a mat for me.,,,,,,,,,,,,,,,,,ampar akang,,,FALSE
128,ampar₃,verb,to spread something out (at someone's request),,,,,,,,,,,,,,,,,,,baampar,,,FALSE
129,ampar₄,intransitive verb,"to be spread out, to sleep indiscriminately on the floor",Ari malang kami tidu baampar.,Last night we slept on mats.,,,,,,,,,,,,,,,,,naampar,,,FALSE
130,ampar₅,intransitive verb,"fallen down (of broad flat objects, e.g. a sheet of plywood or zinc roofing)",,,,,,,,,,,,,,,,,,,,,,FALSE
131,ampas₁,verb,to strike down,,,,,,,,,,,,,,,,,,,,,,FALSE
132,ampas₂,noun,sediment,te ampasa,tea dregs,,,,,,,,,,,,,,,,,ampasi,,,FALSE
133,ampas₃,verb,to fall on something or someone,Kayu muampasi rumana.,A tree fell on his house.,,,,,,,,,,,,,,,,,naampas,,,FALSE
134,ampas₄,intransitive verb,"to trip and to fall, to have collapsed",barang ribut kapé nang kayu naampas,"Because of the typhoon, what else?, the trees",,,,,,,,,,,,,,,,,naampasi,,,FALSE
135,ampas₅,verb,to have fallen on something,,,,,,,,,,,,,,,,,,,,,,FALSE
136,ampat,numeral,four,,,,,,,,,,,,,,,,,,,,,,FALSE
137,ampong,noun,"forgiveness (esp. of someone of higher status), absolution",Harap ampong de kami dangang.,We hope you'll forgive us.,,,,,,,,,,,,,,,,,,,,FALSE
138,amporing,noun,"kind of legume (requiring boiling), rice bean",,,,,,,,,,,,,Vigna umbellata,,,food,,,,"amporing ijo \df kind of bean, mung bean, \sn Vigna radiata \sf  food, amporing kayu \df kind of bean \df kind of vine, \sn Vigna marina \sf  food, amporing paisu \df kind of vine \sf  plant, amporing sela \df kind of red bean \sf  food, amporing tanggalaot \df kind of shrub, \sn Tephrosia purpurea \crm  biraro \crm  kacang \sf  plant",,FALSE
139,ampunokang,,,,,,,,,,,,,,,,,,,,mampunokang,,,,FALSE
142,amál,noun,"good works, good deeds",,,,,,,,,,,,,,,,,,,,,,FALSE
143,ana seni,noun,"children, youth, kids",ini ana seni sakarang basaláng pasi duduk bangaji ilakat bacarita,"Kids nowadays, if",,,,,,,,,,,,,,,,,,,,FALSE
144,ana-anadara,intransitive verb,"immature, not full-grown (of trees)",,,,,,,,,,,,,,,,,,,,,,FALSE
145,anagakang₁,verb,to pawn something,,,,,,,,,,,,,,,,,,,anagakangi,,,FALSE
146,anagakang₂,verb,to pawn something for someone,kau muanagakangi radioku ini hadiki,Please pawn my radio for me.,,,,,,,,,,,,,,,,,anagakang akang,,,FALSE
147,anagakang₃,verb,to pawn something at someone's request,,,,,,,,,,,,,,,,,,,baanagakang,,,FALSE
148,anagakang₄,intransitive verb,to engage in pawning,ia tala rugi po ia baanagakang binina amasa,He suffered a financial loss and then took,,,,,,,,,,,,,,,,,,,,FALSE
149,anak,noun,"child, offspring",anaku,my child,perna bawali inycana muba: anaka sondor surat,Once Bawali over there was traveling,,,,,,,,,,,,kinship,,,,"anak aono \df first child, eldest child, anak dede \df baby, infant, anak hara/m jada \df illegitimate child <bastard>, anak kamanakang \df nephew, niece \crm  kamanakang, anak kambar \df twin \crm  kambar, anak piatu \df motherless child, orphan, anak piara \df foster-child, adopted child, anak tiri \df step-child, anak watok \df step-child, anak yati/m \df fatherless child, orphan, anak yati/m piatu \df orphan, with both parents dead, anaka rodak \df miscarriage \sf  health \af  baranak \ps  vi \df to give birth, to have a baby \af  paranak akang \ps  v \df to give birth to someone \crm  losung anaka \crm  ana seni \crm  andeket \crm  paranakang \crm  saparnakang \crm  sapasanakang",,FALSE
150,anam,numeral,"six, esp. in compounds",anam ratus,six hundred,anam pulu,sixty,,,,,,,,,,,,,,anang,,,,FALSE
151,anandeket,,,,,,,,,,,,,,,,,,,,andeket,,,,FALSE
152,anang,numeral,six,anang ari,six days,,,,,,,,,,,,,,,,anam,,,,FALSE
153,anasage,noun,"kind of fish, the Dart or Swallowtail",,,,,,,,,,,,,Trachinotus blochi,,,fish,,,,,,FALSE
154,andaing,,,,,,,,,,,,,,,,,,,,adaing,,,,FALSE
155,andap₁,verb,to peek,,,,,,,,,,,,,,,,,,,andapi,,,FALSE
156,andap₂,verb,to peek at someone,,,,,,,,,,,,,,,,,,,andap akang,,,FALSE
157,andap₃,verb,to peek at someone at the request of another,Kuandap akang andeket haiku de ruma palika.,I peeked at a kid on the side of the,,,,,,,,,,,,,,,,,baandap,,,FALSE
158,andap₄,intransitive verb,to engage in peeking and peeping,,,,,,,,,,,,,,,,,,,,,,FALSE
