hw,ps,df,il,gc,crm,sc,sf,id,df.,lw
ado,,,,,molo molo ado,,,,,
ado:,excl,*ouch; a cry of sudden pain,,,,,,,,
ado: do: do:,excl,*ow; a wail when being beaten,,,,,,,,
adrs,n,*address,,,,,,,,
adu,n,k.o. intestinal *disease characterized by hardness or *swelling in,,,,,health,,,
aduping,n,*flood,,,,,,,,
agama,n,*religion,,,,,spiritual,,,
agas,n,*gnat; fam. *Ceratopogonidae,,,,,insect,,,
ahal,n,*family~member; distant *relative,,,,,,,,
ahal,n,one family; a family relationship,,,,,kinship,,,
ahert,n,the eternal world; the place of *life~after~death <*eternity>,,,bobato ahera/t ; dunia/,,,,,
ahir,n,*conclusion,,,,,,,,
ahirnya,conj,*finally,,,,probably from Indonesian,,,,
aht,n,*Sunday,,,,,,,,
ai,excl,*hey; exclamation of surprise or admonition,ai kam ke inga-ingat bahasanta tu i: | Hey; all of you should always be mindful of that,,,,,,,
air goraka,n,a *beverage of ginger and palm sugar,,,,this term is considered TM,,,,
ajar,v,to *teach s.o. or s.t. ; to *scold s.o.,nyawaku mantak po kuajar si Umar | I was really offended so I told Umar off,,,,,,,
ajar,v,to teach s.o.,,,,,,,,
ajar,vi,to scold s.o. intensively,,,,,,,,
ajar,v,to teach s.t. at s.o.'s request,,,,,,,,
ajar,vi,to * argue with and scold s.o.,,,,,,,,
ajar,v,to teach intensively with *training and demonstration; to *instruct <*demonstrate>,Bapaku mupalajari andeket tu basilap | My father instructs that youngster in martial arts,,,,,,,
ajarang,n,*horse; [%*Equus~caballus|],,,,,animal,,,
ajeri,v,to *rip open a fish gill,,,,,fishing,,to *kill freshly taken fish,
ajeri:,v,to *berate s.o.; to *excoriate s.o.,,,jejer$2,TM,,,,
ajimat,n,*charm; a *token carried to protect the bearer,,,,,,,,
ak,n,storage *battery; car battery,,,batre/,,,,,
akal,n,*mind; *intelligence ; *cunning ; mental *solution; *resolution (of a problem),akal barisi | many ways to solve (a problem),,,,,,,
akan,,,,,akang$1,,,,,
akang$1,part,*will; *shall; *about~to,a itu akang tida bisa | So; that will be impossible. ; adaing kapala perkebunan akang mubei mangarti | Later the agriculture officer will,future marker,,apparently borrowed from Indonesian,,,,
akang$2,vm,*regarding; with respect to,kau mucamuni akang de ruma habua puang | You should have hidden it in a house for,a postverbal particle marking causation; benefaction or instrumentality,,,,,,
akang$3,conj,*however; *nonetheless,a kita balapetak yogo ka da: bakaya akang kani: lapetak ni lambat| So we garden and go inland to collect sago pith; nonetheless it is certain the garden will be late (for harvesting),,,,,,,
akar,n,*root,,,,,,akar kuning,,
akar,n,*carrot; [%*Daucus~carota|],,,,,food,,,
aku$1,pn,*I; *me,aku yogo kutanyai kau habua hadiki | I want to ask you about something; please. ; haiku ini mubei aku doit tolu ratus ka mai | This guy gave me three hundred rupiah,*first~person~singular; emphatic,iku; ; ngku; ; ku; ; ku- ; dangang,informal,,,,
aku$2,v,to *admit s.t.,kuakui laki-laki tu memang jagona| I admit that man surely has prowess,,mangaku,,,,,
ala,v,to *take s.t. ; to *assume s.t. as a starting point for calculations ; to be *absorbent (said of sago bread) <*sop>,nyawana ia ma bei ga tu muala jamingku| Whose heart let him take my watch? (Who ; basalng ala de tanggal kani: ahat tu sak | If you start with the calendar; then it surely ; baku ini ma ala paisu| This sago bread sops up the sauce,,sika,,,ala paisu,,
ala,v,to *take on behalf of s.o.,Muala akang aku tabako. |Get some cigarettes for me.,,,,,,,
ala,vi,to be engaged in taking <*take> ; to *curry~favor (e.g. of o.'s boss),Baala ga de ini. |Take from here; too. ; baala les| to take dues,,,,,baala nyawa,,
ala,vi,to be *intertwine|d; to be *criss-cross|ed; to be tied up in a multitude of knots; etc. ; to *argue with each other,Ada filinggir dua biji baalala:ng. |There are two kites criss-crossed.,,sika,,,,,
ala-alang,,,,,alang-alang ; manuk ala-alang,,,,,
ala:,excl,*Lord!; exclamation of surprise or disapproval,ala: tauli ka lau majang| Lord! We looked out towards the horizon and it was great!,,ya ala,,,,,
alabobo,n,k.o. small *mollusc found in muddy riverbanks,,,,,mollusc,,,
alahumadaf,excl,*Good~lord!; exclamation of surprise or shock,,,,,,,,
alahumadaf,n,small waves,,,alualungang,,,,,
alam,n,*nature,,,,,,,,
alang-alang,n,k.o. *grass; *alang-alang; [%*Imperata~cylindrica|],,,,,,,,
